Method	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
YuelDesign	0.491±0.110	0.501±0.121	0.517±0.134	0.542±0.143	0.557±0.153	0.569±0.163	0.565±0.173	0.572±0.196	0.582±0.191	0.569±0.195	0.564±0.206	0.564±0.205	0.544±0.212	0.511±0.218	0.504±0.216	0.479±0.214	0.462±0.212	0.438±0.205	0.416±0.203	0.384±0.195	0.359±0.186
DiffSBDD	0.462±0.130	0.460±0.144	0.465±0.156	0.462±0.166	0.463±0.175	0.459±0.183	0.456±0.190	0.446±0.195	0.431±0.200	0.421±0.201	0.407±0.204	0.384±0.203	0.371±0.200	0.345±0.191	0.330±0.189	0.301±0.177	0.284±0.175	0.263±0.166	0.244±0.161	0.222±0.146	0.204±0.136
Native Ligands	N/A	0.397±0.119	0.385±0.146	0.381±0.145	0.351±0.094	0.425±0.143	0.384±0.133	0.362±0.181	0.428±0.178	0.388±0.165	0.372±0.181	0.389±0.206	0.370±0.187	0.335±0.178	0.348±0.200	0.343±0.195	0.281±0.173	0.240±0.139	0.245±0.140	0.320±0.161	0.294±0.151
