Method	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
YuelDesign	0.998±0.040	0.997±0.054	0.990±0.098	0.986±0.118	0.983±0.130	0.977±0.149	0.966±0.181	0.950±0.218	0.954±0.209	0.951±0.217	0.921±0.269	0.914±0.281	0.906±0.291	0.851±0.357	0.826±0.379	0.801±0.399	0.786±0.410	0.770±0.421	0.752±0.432	0.728±0.445	0.669±0.470
DiffSBDD	0.990±0.102	0.980±0.141	0.966±0.181	0.951±0.215	0.933±0.249	0.920±0.272	0.887±0.317	0.862±0.345	0.824±0.381	0.804±0.397	0.771±0.421	0.720±0.449	0.696±0.460	0.646±0.478	0.606±0.489	0.555±0.497	0.521±0.500	0.487±0.500	0.443±0.497	0.418±0.493	0.382±0.486
Native Ligands	N/A	0.902±0.297	0.876±0.330	0.609±0.488	0.918±0.275	0.711±0.453	0.732±0.443	0.379±0.485	0.687±0.464	0.549±0.498	0.465±0.499	0.466±0.499	0.485±0.500	0.297±0.457	0.428±0.495	0.465±0.499	0.291±0.454	0.181±0.385	0.172±0.378	0.434±0.496	0.350±0.477
