Method	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
YuelDesign	0.003±0.052	0.003±0.055	0.004±0.063	0.005±0.073	0.010±0.100	0.012±0.108	0.012±0.110	0.016±0.124	0.017±0.129	0.023±0.150	0.027±0.162	0.033±0.178	0.037±0.189	0.034±0.182	0.042±0.201	0.046±0.208	0.052±0.221	0.058±0.235	0.062±0.241	0.068±0.252	0.074±0.261
DiffSBDD	0.057±0.232	0.070±0.255	0.069±0.254	0.114±0.318	0.114±0.318	0.130±0.337	0.134±0.341	0.172±0.377	0.165±0.371	0.156±0.363	0.182±0.386	0.211±0.408	0.237±0.426	0.241±0.428	0.258±0.438	0.290±0.454	0.257±0.437	0.338±0.473	0.345±0.475	0.320±0.466	0.389±0.487
Native Ligands	N/A	0.001±0.024	0.002±0.040	0.001±0.034	0.002±0.042	0.004±0.061	0.006±0.078	0.008±0.091	0.034±0.181	0.004±0.062	0.010±0.100	0.014±0.117	0.017±0.130	0.008±0.091	0.010±0.097	0.014±0.116	0.010±0.102	0.012±0.110	0.009±0.093	0.033±0.179	0.033±0.179
