Method	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
YuelDesign	3.242±1.033	3.346±1.016	3.406±1.015	3.540±1.000	3.606±0.997	3.734±0.970	3.824±0.950	3.944±0.947	4.070±0.937	4.158±0.933	4.253±0.896	4.391±0.888	4.474±0.867	4.562±0.867	4.646±0.841	4.760±0.858	4.841±0.819	4.955±0.822	4.996±0.798	5.078±0.788	5.158±0.793
DiffSBDD	3.448±1.128	3.585±1.111	3.711±1.057	3.757±1.053	3.866±1.068	3.968±1.088	4.139±1.033	4.202±0.982	4.195±0.947	4.375±0.943	4.408±0.893	4.443±0.893	4.596±0.863	4.639±0.902	4.740±0.852	4.831±0.831	4.884±0.826	4.987±0.811	5.079±0.798	5.197±0.823	5.250±0.806
Native Ligands	N/A	4.030±1.145	3.538±0.868	3.623±1.133	4.226±0.652	4.390±1.454	4.134±1.279	4.954±1.066	4.125±1.392	4.378±1.164	4.545±1.108	4.931±0.921	4.791±1.168	4.935±0.837	5.145±0.867	5.194±1.061	5.384±0.725	6.055±0.821	5.526±0.892	5.455±0.876	5.504±0.876
